	HUM_COUNT	HUM_MODE	HUM_AVG	TEMP_COUNT	TEMP_MODE	TEMP_AVG	LIGHT_COUNT	LIGHT_MODE	LIGHT_AVG	PRESS_COUNT	PRESS_MODE	PRESS_AVG	PREC_COUNT	PREC_MODE	PREC_AVG	days_diff
2022-01-01	288	12.0	10.17361111111111	288	10.0	10.645833333333334	288	5.0	10.67361111111111	288	9.0	9.913194444444445	288	2.0	10.229166666666666	0
2022-01-02	288	9.0	9.791666666666666	288	12.0	10.15625	288	15.0	10.041666666666666	288	3.0	10.694444444444445	288	9.0	10.17361111111111	1
2022-01-03	288	5.0	9.878472222222221	288	19.0	11.152777777777779	288	13.0	10.159722222222221	288	3.0	9.631944444444445	288	6.0	10.5	2
2022-01-04	288	14.0	9.913194444444445	288	7.0	10.583333333333334	288	13.0	9.836805555555555	288	1.0	9.875	288	14.0	11.13888888888889	3
2022-01-05	288	7.0	10.409722222222221	288	12.0	9.88888888888889	288	5.0	9.79513888888889	288	17.0	10.027777777777779	288	9.0	10.430555555555555	4
2022-01-06	288	13.0	9.722222222222221	288	1.0	9.739583333333334	288	5.0	9.899305555555555	288	8.0	9.940972222222221	288	13.0	9.756944444444445	5
2022-01-07	288	14.0	9.868055555555555	288	11.0	9.57986111111111	288	10.0	9.6875	288	7.0	10.059027777777779	288	5.0	9.82638888888889	6
2022-01-08	288	7.0	10.17361111111111	288	4.0	9.569444444444445	288	6.0	10.10763888888889	288	10.0	9.8125	288	16.0	10.114583333333334	7
2022-01-09	288	15.0	10.541666666666666	288	5.0	9.666666666666666	288	16.0	10.07638888888889	288	12.0	9.458333333333334	288	3.0	9.711805555555555	8
2022-01-10	288	14.0	9.927083333333334	288	14.0	9.98611111111111	288	5.0	9.32638888888889	288	8.0	10.159722222222221	288	15.0	10.972222222222221	9
2022-01-11	1	18.0	18.0	1	15.0	15.0	1	9.0	9.0	1	15.0	15.0	1	11.0	11.0	10
